modalities,position,ratio,n,masked_positions,mean_actual_ratio,newly_lost_observed_ratio,unobservable_positions,accuracy,macro_f1,f1_0,f1_1,f1_2,mae,pearson,sign_conflict,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson
TA,middle,0.1,728,2032,0.12971193869701972,0.11834509300833868,111,0.6263736263736264,0.6030718954248365,0.6533333333333333,0.45,0.7058823529411765,0.6361514925956726,0.6019090038540279,0.024725274725274724,-0.008241758241758212,-0.011709287401419743,0.005527377128601074,-0.028287843602663676
TV,middle,0.1,728,2032,0.12971193869701972,0.11848099748231627,5,0.6195054945054945,0.5969879659111822,0.6547884187082406,0.4383561643835616,0.6978193146417445,0.6359415650367737,0.6015040906008392,0.0260989010989011,-0.015109890109890056,-0.017793216915074073,0.0053174495697021484,-0.028692756855852375
AV,middle,0.1,728,2032,0.12971193869701972,0.11849450747343779,0,0.6346153846153846,0.6148121702796822,0.6709401709401709,0.47619047619047616,0.6973058637083994,0.6283262372016907,0.6328779511447552,0.0260989010989011,0.0,3.0987453425890266e-05,-0.0022978782653808594,0.002681103688063624
T,middle,0.3,728,5478,0.3284235928836993,0.3190076869322152,15,0.614010989010989,0.5937911659634705,0.6160714285714286,0.4738292011019284,0.6914728682170542,0.6555770635604858,0.5594131444452903,0.02197802197802198,-0.02060439560439553,-0.020990016862785787,0.024952948093414307,-0.07078370301140124
A,middle,0.3,728,5478,0.3284235928836993,0.3189886721943244,0,0.6332417582417582,0.6148953696055949,0.6695278969957081,0.481994459833795,0.6931637519872814,0.6282592415809631,0.631375680099516,0.020604395604395604,-0.0013736263736263687,0.00011418677933860977,-0.0023648738861083984,0.0011788326428243678
V,middle,0.3,728,5478,0.3284235928836993,0.3199110671936759,0,0.6401098901098901,0.6199552644267169,0.6723768736616702,0.48179271708683474,0.7056962025316456,0.6256107687950134,0.6339610224074036,0.02197802197802198,0.005494505494505475,0.005174081600460623,-0.0050133466720581055,0.003764174950712018
TA,middle,0.3,728,5478,0.3284235928836993,0.31899819231442067,298,0.6112637362637363,0.59124537492161,0.6143497757847534,0.46994535519125685,0.6894409937888198,0.6531388759613037,0.5589430424146599,0.020604395604395604,-0.02335164835164827,-0.023535807904646266,0.022514760494232178,-0.07125380504203171
TV,middle,0.3,728,5478,0.3284235928836993,0.3194461095791871,15,0.6071428571428571,0.5882286519754719,0.6177777777777778,0.46236559139784944,0.6845425867507886,0.6517512798309326,0.5600540417258801,0.023351648351648352,-0.027472527472527486,-0.02655253085078435,0.021127164363861084,-0.07014280573081144
AV,middle,0.3,728,5478,0.3284235928836993,0.3194369409928567,0,0.6401098901098901,0.6219880070544601,0.6724137931034483,0.4930747922437673,0.7004754358161648,0.6239853501319885,0.6343294268363473,0.0260989010989011,0.005494505494505475,0.007206824228203845,-0.006638765335083008,0.004132579379655721
T,middle,0.5,728,8752,0.516434327252749,0.5096668996040066,24,0.5714285714285714,0.5541586103224052,0.6073752711496746,0.42048517520215634,0.6346153846153846,0.6949753165245056,0.514758312700763,0.03708791208791209,-0.06318681318681318,-0.06062257250385106,0.06435120105743408,-0.11543853475592858
A,middle,0.5,728,8752,0.516434327252749,0.5096344738993344,0,0.6291208791208791,0.6100700326642601,0.6652360515021459,0.47619047619047616,0.688783570300158,0.6292345523834229,0.6291594786133962,0.024725274725274724,-0.005494505494505475,-0.0047111501619961915,-0.0013895630836486816,-0.0010373688432954165
V,middle,0.5,728,8752,0.516434327252749,0.5101284584980237,0,0.6387362637362637,0.6199883268848786,0.6724137931034483,0.48484848484848486,0.7027027027027027,0.6247051358222961,0.6335742674909501,0.023351648351648352,0.004120879120879106,0.005207144058622326,-0.005918979644775391,0.0033774200342585603
TA,middle,0.5,728,8752,0.516434327252749,0.5096507084961223,492,0.570054945054945,0.554004896568359,0.612691466083151,0.41909814323607425,0.6302250803858521,0.6919848322868347,0.5152503956198182,0.03296703296703297,-0.06456043956043955,-0.060776286257897216,0.061360716819763184,-0.11494645183687335
TV,middle,0.5,728,8752,0.516434327252749,0.5098909003716581,24,0.5618131868131868,0.5449756917096286,0.5995623632385121,0.40633245382585753,0.6290322580645161,0.6912240386009216,0.5151555303815905,0.028846153846153848,-0.07280219780219777,-0.0698054911166277,0.0605999231338501,-0.11504131707510112
AV,middle,0.5,728,8752,0.516434327252749,0.5098745422894532,0,0.635989010989011,0.6189081718705268,0.6695464362850972,0.4918032786885246,0.6953748006379585,0.6232403516769409,0.6312994893978479,0.03296703296703297,0.0013736263736263687,0.004126989044270557,-0.007383763790130615,0.0011026419411562793
T,back,0.1,728,2032,0.12971193869701972,0.11833216864663405,3,0.6098901098901099,0.5920686259346557,0.649895178197065,0.4585635359116022,0.6677471636952999,0.6547579765319824,0.5912684387716803,0.03021978021978022,-0.024725274725274637,-0.022712556891600566,0.02413386106491089,-0.03892840868501124
A,back,0.1,728,2032,0.12971193869701972,0.11847483358635992,0,0.6373626373626373,0.6184110864864109,0.6723768736616702,0.48333333333333334,0.699523052464229,0.6311995387077332,0.6286022960407353,0.0260989010989011,0.0027472527472527375,0.0036299036601545875,0.0005754232406616211,-0.0015945514159563245
