modalities,position,ratio,seeds,baseline_accuracy,augmented_accuracy,delta_accuracy,baseline_macro_f1,augmented_macro_f1,delta_macro_f1,baseline_mae,augmented_mae,delta_mae,baseline_pearson,augmented_pearson,delta_pearson
TV,front,0.5,3,0.5508241758241759,0.5608974358974359,0.010073260073260037,0.5340927069769558,0.5429719436013545,0.008879236624398712,0.6741664012273153,0.6797148585319519,0.0055484573046366,0.4850426719158812,0.4788923634754113,-0.006150308440469876
TV,middle,0.1,3,0.5897435897435898,0.6007326007326007,0.01098901098901095,0.5700069973620028,0.5788358136682015,0.008828816306198695,0.6176704367001852,0.6144325931866964,-0.0032378435134887695,0.5976624244529758,0.5887556346640673,-0.008906789788908465
TV,middle,0.3,3,0.5892857142857143,0.592032967032967,0.0027472527472527375,0.5739915366104076,0.574256072107687,0.00026453549727945,0.6286913156509399,0.6313663721084595,0.0026750564575195312,0.5578233647171305,0.5485653253561168,-0.009258039361013659
TV,middle,0.5,3,0.5238095238095238,0.5375457875457875,0.013736263736263687,0.5110988864095828,0.5237538801565563,0.012654993746973542,0.6659447550773621,0.6706821918487549,0.004737436771392822,0.5036886989232273,0.5021663638176458,-0.0015223351055815293
V,back,0.1,3,0.6314102564102564,0.6231684981684982,-0.008241758241758212,0.6067494877147358,0.6045157517718848,-0.002233735942851034,0.6101254026095072,0.599077026049296,-0.011048376560211182,0.6321706587486972,0.624411498828661,-0.007759159920036174
V,back,0.3,3,0.6277472527472527,0.6231684981684982,-0.0045787545787545625,0.6030613613614485,0.6049738825392068,0.0019125211777583084,0.610846996307373,0.5989383459091187,-0.011908650398254395,0.6314086970177899,0.6236191171972928,-0.007789579820497106
V,back,0.5,3,0.6277472527472527,0.6213369963369964,-0.0064102564102563875,0.603033396135183,0.6022699566230346,-0.0007634395121484117,0.6100338101387024,0.5979549487431844,-0.012078861395517948,0.6323583368599403,0.6246105808620317,-0.007747755997908556
V,front,0.1,3,0.6327838827838828,0.6245421245421245,-0.008241758241758212,0.6084076868840637,0.6062080315356249,-0.0021996553484388004,0.6097239057223002,0.5990191499392191,-0.010704755783081055,0.6320080024388524,0.624484767477665,-0.007523234961187342
V,front,0.3,3,0.6327838827838828,0.6245421245421245,-0.008241758241758212,0.607416099866798,0.6061831034879511,-0.0012329963788468845,0.6108870108922323,0.599752406279246,-0.01113460461298632,0.6306490330722834,0.6240586475984893,-0.0065903854737940915
V,front,0.5,3,0.6268315018315018,0.6213369963369964,-0.005494505494505475,0.6008029462820031,0.6029420840650092,0.0021391377830060065,0.6120983759562174,0.6008327404657999,-0.01126563549041748,0.6289825927212251,0.6228851670111097,-0.006097425710115401
V,middle,0.1,3,0.63003663003663,0.6217948717948718,-0.008241758241758212,0.6057418848327032,0.6035915137929809,-0.0021503710397222653,0.6098657846450806,0.5990577340126038,-0.010808050632476807,0.6319143942457546,0.6242986879951924,-0.007615706250562182
V,middle,0.3,3,0.6304945054945055,0.6190476190476191,-0.011446886446886406,0.6054555078461634,0.6003811580556678,-0.005074349790495591,0.6094443798065186,0.5985740621884664,-0.010870317618052128,0.6324748216939988,0.6249026637460339,-0.0075721579479649526
V,middle,0.5,3,0.6286630036630036,0.6153846153846154,-0.013278388278388231,0.6031686956817743,0.5966542984234282,-0.006514397258346127,0.6092966993649801,0.5983357429504395,-0.010960956414540646,0.6327223193775635,0.6252045815938424,-0.007517737783721112
