candidate,missing_group,scenario_seed_rows,mean_accuracy,mean_macro_f1,mean_mae,mean_pearson
B_mask,V,27,0.6266280016280016,0.6029555200067706,0.6048289294596072,0.643467842691227
B_mask,text_available,81,0.6295787545787546,0.6070464130503548,0.6078551808993021,0.6432849736707723
B_mask,text_missing,81,0.5708689458689459,0.5446366703513775,0.6604836627289101,0.5460002388539916
B_old,A,27,0.6311050061050061,0.607911336270364,0.6106145072866369,0.6456244373137725
B_old,AV,27,0.6303927553927554,0.6093825174498775,0.6081769952067623,0.6409024949887568
B_old,T,27,0.574023199023199,0.5458272455427988,0.6574381347055789,0.5525524939861927
B_old,TA,27,0.5724460724460725,0.5493700885149237,0.6623608580342045,0.5484899059059354
B_old,TV,27,0.5655270655270656,0.5381448342160042,0.6602547897232903,0.537747416467186
B_old,V,27,0.6258140008140008,0.6021898741479011,0.6048974372722484,0.6434213367189154
B_old,text_available,81,0.6291039207705874,0.6064945759560475,0.6078963132552159,0.6433160896738149
B_old,text_missing,81,0.5706654456654456,0.5444473894245756,0.6600179274876913,0.5462632721197713
